MolecularFormula,split,smiles,Activity(IC50),Activity(pIC50)
C17H17F2N5O,train,N#Cc1cc(F)ccc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O,430,6.366531544
C17H17F2N5O,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(F)c1=O,8,8.096910013
C17H17ClFN5O,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Cl)c1=O,8,8.096910013
C17H17BrFN5O,train,N#Cc1ccc(F)cc1Cn1c(N2CCC[C@@H](N)C2)ncc(Br)c1=O,6,8.22184875
C17H19N5O2,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)cc(=O)[nH]c1=O,4,8.397940009
C17H21BrN4O2,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2Br)c1=O,12,7.920818754
C17H20ClFN4O2,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2Cl)c1=O,14,7.853871964
C17H20ClFN4O2,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccc(F)cc2Cl)c1=O,890,6.050609993
C17H20Cl2N4O2,train,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(Cl)ccc2Cl)c1=O,27,7.568636236
C16H19N5O2,train,CCn1c(=O)cc(NCCN)n(Cc2ccccc2C#N)c1=O,17000,4.769551079
C19H23N5O2,train,Cn1c(=O)cc(NC2CCCCNC2)n(Cc2ccccc2C#N)c1=O,590,6.229147988
C19H22FN5O2,train,Cn1c(=O)cc(N2CCC[C@@](C)(N)C2)n(Cc2cc(F)ccc2C#N)c1=O,10,8
C19H19N5OS,train,N#Cc1ccccc1Cn1c(N2CCC[C@@H](N)C2)nc2sccc2c1=O,0.87,9.060480747
C20H21N5OS,train,Cc1csc2nc(N3CCC[C@@H](N)C3)n(Cc3ccccc3C#N)c(=O)c12,1.32,8.879426069
C9H18N2O,train,CC(C)C(N)C(=O)N1CCCC1,548,6.261219442
C22H30N2O2,train,CCc1nc(CC(C)(C)C)c(CN)c(-c2ccc(C)cc2)c1CC(=O)O,5.3,8.27572413
C20H24F5N5,train,N[C@H](Cc1cc(F)ccc1F)[C@H]1CC[C@H](N2CCn3c(nnc3C(F)(F)F)C2)CC1,330,6.48148606
C16H18F3N5O,train,Cc1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2,77.06,7.113170995
C18H24F3N3O5S2,train,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(S(=O)(=O)C(F)(F)F)cc2)C1,220,6.657577319
C21H26F2N2O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccccc1,140,6.853871964
C22H25F5N2O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccccc1C(F)(F)F,110,6.958607315
C22H25F2N3O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C#N)c1,85,7.070581074
C22H25F2N3O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C#N)cc1,180,6.744727495
C21H27F2N3O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(N)cc1,140,6.853871964
C22H25F5N2O3S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(OC(F)(F)F)cc1,400,6.397940009
C22H27F2N3O3S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1cccc(C(N)=O)c1,99,7.004364805
C22H27F2N3O3S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(C(N)=O)cc1,84,7.075720714
C21H24F4N2O2S,train,CN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1ccc(F)cc1F,150,6.823908741
C19H26F2N4O2S,train,Cc1[nH]ncc1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,280,6.552841969
C19H26F2N4O2S,train,Cn1cnc(S(=O)(=O)N(C)[C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)c1,500,6.301029996
C19H25F2N3O3S,train,Cc1oncc1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,170,6.769551079
C21H28F2N4O3S2,train,CC(=O)Nc1nc(C)c(S(=O)(=O)N(C)[C@H]2CC[C@H]([C@H](N)Cc3cc(F)ccc3F)CC2)s1,100,7
C20H27F2N3O3S,train,Cc1noc(C)c1S(=O)(=O)N(C)[C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1,55,7.259637311
C21H29F2N3O3S,train,CCN([C@H]1CC[C@H]([C@H](N)Cc2cc(F)ccc2F)CC1)S(=O)(=O)c1c(C)noc1C,38,7.420216403
